,Argentina,Buenos Aires,Catamarca,Chaco,Chubut,Córdoba,Corrientes,Entre Ríos,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquén,Río Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucumán,CABA
222,8660.0,5188.0,0.0,213.0,7.0,127.0,2.0,52.0,0.0,237.0,1.0,84.0,129.0,3.0,53.0,179.0,45.0,4.0,0.0,16.0,87.0,9.0,33.0,27.0,3006.0
223,8919.0,5188.0,0.0,218.0,7.0,128.0,2.0,57.0,0.0,246.0,2.0,84.0,132.0,3.0,55.0,183.0,45.0,5.0,0.0,17.0,92.0,11.0,36.0,29.0,3006.0
224,9118.0,5363.0,0.0,218.0,7.0,132.0,2.0,58.0,0.0,254.0,2.0,91.0,135.0,3.0,56.0,189.0,46.0,5.0,0.0,18.0,97.0,11.0,36.0,33.0,3072.0
225,9361.0,5472.0,0.0,220.0,8.0,138.0,2.0,61.0,0.0,262.0,3.0,91.0,140.0,3.0,56.0,195.0,47.0,5.0,0.0,18.0,106.0,11.0,36.0,34.0,3139.0
226,9361.0,5655.0,0.0,221.0,8.0,138.0,2.0,61.0,0.0,262.0,3.0,96.0,140.0,3.0,59.0,195.0,47.0,5.0,0.0,18.0,106.0,11.0,36.0,34.0,3189.0
227,9739.0,5830.0,0.0,224.0,9.0,150.0,3.0,65.0,0.0,281.0,3.0,108.0,147.0,3.0,64.0,208.0,56.0,10.0,0.0,19.0,116.0,14.0,41.0,49.0,3250.0
228,9859.0,5969.0,0.0,227.0,9.0,155.0,3.0,66.0,0.0,288.0,3.0,113.0,152.0,3.0,68.0,211.0,59.0,10.0,0.0,19.0,127.0,15.0,41.0,50.0,3286.0
229,10129.0,5969.0,0.0,227.0,11.0,162.0,3.0,68.0,0.0,298.0,3.0,118.0,155.0,3.0,71.0,216.0,63.0,10.0,1.0,20.0,138.0,15.0,41.0,62.0,3286.0
230,10405.0,6291.0,0.0,231.0,11.0,168.0,4.0,70.0,0.0,308.0,3.0,124.0,158.0,3.0,73.0,225.0,63.0,15.0,1.0,20.0,144.0,15.0,41.0,69.0,3433.0
231,10658.0,6443.0,0.0,233.0,11.0,175.0,5.0,71.0,0.0,317.0,3.0,128.0,163.0,3.0,76.0,228.0,71.0,16.0,3.0,23.0,153.0,21.0,43.0,73.0,3498.0
232,10907.0,6582.0,0.0,237.0,13.0,180.0,5.0,76.0,0.0,328.0,3.0,134.0,169.0,3.0,79.0,235.0,77.0,16.0,3.0,23.0,172.0,23.0,44.0,75.0,3565.0
233,11148.0,6582.0,0.0,237.0,15.0,186.0,5.0,84.0,0.0,338.0,3.0,140.0,176.0,3.0,79.0,243.0,85.0,19.0,4.0,23.0,182.0,24.0,45.0,79.0,3565.0
234,11263.0,6760.0,0.0,241.0,18.0,192.0,10.0,84.0,0.0,348.0,3.0,143.0,183.0,3.0,83.0,245.0,87.0,20.0,5.0,25.0,190.0,24.0,47.0,88.0,3669.0
235,11352.0,6760.0,0.0,241.0,18.0,196.0,10.0,84.0,0.0,359.0,3.0,147.0,188.0,3.0,85.0,247.0,89.0,21.0,5.0,29.0,192.0,25.0,47.0,87.0,3669.0
236,11667.0,6798.0,0.0,243.0,18.0,203.0,11.0,86.0,0.0,370.0,3.0,147.0,194.0,3.0,85.0,250.0,94.0,22.0,7.0,32.0,208.0,26.0,48.0,96.0,3692.0
237,11852.0,6957.0,0.0,247.0,23.0,211.0,12.0,87.0,0.0,381.0,3.0,157.0,201.0,3.0,94.0,258.0,98.0,22.0,9.0,32.0,215.0,26.0,48.0,105.0,3775.0
238,12116.0,7056.0,0.0,247.0,23.0,220.0,13.0,92.0,0.0,393.0,3.0,162.0,207.0,3.0,94.0,264.0,101.0,22.0,10.0,40.0,230.0,26.0,51.0,110.0,3814.0
239,12460.0,7221.0,0.0,247.0,26.0,227.0,13.0,95.0,0.0,404.0,3.0,162.0,211.0,3.0,108.0,271.0,115.0,23.0,10.0,42.0,244.0,28.0,53.0,112.0,3873.0
240,12656.0,7434.0,0.0,252.0,26.0,236.0,14.0,98.0,0.0,415.0,3.0,166.0,218.0,3.0,108.0,279.0,134.0,24.0,11.0,44.0,254.0,28.0,55.0,117.0,3911.0
241,12799.0,7525.0,0.0,254.0,28.0,245.0,15.0,98.0,0.0,425.0,3.0,172.0,222.0,3.0,113.0,285.0,155.0,24.0,13.0,45.0,258.0,33.0,55.0,120.0,3956.0
242,13053.0,7580.0,0.0,260.0,28.0,253.0,16.0,101.0,0.0,435.0,3.0,176.0,227.0,3.0,121.0,286.0,171.0,26.0,13.0,46.0,263.0,35.0,55.0,135.0,3974.0
243,13482.0,7973.0,0.0,266.0,31.0,258.0,17.0,103.0,0.0,439.0,3.0,186.0,231.0,3.0,133.0,297.0,194.0,27.0,14.0,46.0,290.0,36.0,57.0,144.0,4036.0
244,13952.0,7973.0,0.0,266.0,35.0,267.0,17.0,108.0,0.0,449.0,3.0,186.0,236.0,3.0,139.0,309.0,205.0,27.0,14.0,48.0,298.0,38.0,59.0,158.0,4036.0
245,14376.0,8312.0,0.0,268.0,35.0,278.0,17.0,110.0,0.0,459.0,3.0,189.0,242.0,3.0,139.0,322.0,220.0,28.0,17.0,49.0,314.0,38.0,60.0,170.0,4100.0
246,14766.0,8867.0,0.0,276.0,37.0,291.0,19.0,112.0,0.0,471.0,6.0,198.0,248.0,3.0,146.0,332.0,234.0,28.0,17.0,53.0,333.0,41.0,60.0,174.0,4187.0
247,15208.0,12585.0,0.0,276.0,46.0,309.0,19.0,114.0,0.0,484.0,6.0,198.0,254.0,3.0,154.0,343.0,278.0,29.0,18.0,56.0,357.0,42.0,63.0,181.0,4187.0
248,15543.0,,0.0,278.0,48.0,327.0,19.0,116.0,0.0,489.0,6.0,204.0,261.0,3.0,156.0,353.0,293.0,32.0,19.0,61.0,372.0,46.0,64.0,188.0,4253.0
