,Argentina,Buenos Aires,Catamarca,Chaco,Chubut,Córdoba,Corrientes,Entre Ríos,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquén,Río Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucumán,CABA
47,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,
125,4336.0,1204.0,0.0,315.0,3.0,230.0,78.0,24.0,0.0,5.0,5.0,52.0,65.0,24.0,83.0,272.0,4.0,2.0,10.0,49.0,215.0,15.0,99.0,30.0,2009.0
126,4336.0,1204.0,0.0,315.0,3.0,230.0,78.0,24.0,0.0,5.0,5.0,52.0,67.0,24.0,83.0,276.0,4.0,3.0,10.0,49.0,215.0,15.0,99.0,30.0,2009.0
127,4604.0,1258.0,0.0,328.0,3.0,240.0,78.0,25.0,0.0,5.0,5.0,52.0,67.0,24.0,85.0,290.0,4.0,3.0,10.0,49.0,221.0,15.0,106.0,30.0,2155.0
128,4775.0,1305.0,0.0,334.0,3.0,240.0,78.0,25.0,0.0,5.0,5.0,53.0,67.0,24.0,85.0,294.0,4.0,3.0,10.0,49.0,222.0,15.0,106.0,30.0,2357.0
129,5087.0,1349.0,0.0,334.0,4.0,248.0,78.0,25.0,0.0,5.0,5.0,56.0,67.0,24.0,90.0,298.0,4.0,3.0,10.0,49.0,222.0,15.0,106.0,30.0,2490.0
130,5323.0,1413.0,0.0,345.0,4.0,265.0,78.0,25.0,0.0,5.0,5.0,56.0,67.0,24.0,90.0,298.0,4.0,3.0,10.0,49.0,224.0,15.0,111.0,30.0,2662.0
131,5508.0,1442.0,0.0,358.0,4.0,266.0,78.0,26.0,0.0,5.0,5.0,56.0,67.0,24.0,90.0,303.0,4.0,3.0,10.0,49.0,227.0,15.0,133.0,30.0,2827.0
132,5696.0,1493.0,0.0,358.0,4.0,266.0,78.0,26.0,0.0,5.0,5.0,56.0,67.0,24.0,90.0,307.0,4.0,3.0,10.0,49.0,231.0,15.0,133.0,31.0,2827.0
133,5883.0,1552.0,0.0,382.0,4.0,275.0,78.0,26.0,0.0,5.0,5.0,56.0,67.0,24.0,93.0,313.0,4.0,3.0,10.0,49.0,231.0,21.0,133.0,34.0,3168.0
134,5980.0,1606.0,0.0,385.0,4.0,285.0,78.0,26.0,0.0,5.0,5.0,56.0,71.0,24.0,96.0,315.0,4.0,3.0,10.0,49.0,233.0,21.0,133.0,34.0,3417.0
135,6075.0,1695.0,0.0,385.0,4.0,289.0,78.0,28.0,0.0,5.0,5.0,56.0,71.0,26.0,104.0,321.0,4.0,3.0,10.0,50.0,236.0,21.0,134.0,34.0,3619.0
136,6167.0,1774.0,0.0,426.0,4.0,293.0,78.0,28.0,0.0,5.0,5.0,56.0,71.0,26.0,105.0,339.0,4.0,3.0,10.0,50.0,237.0,21.0,134.0,34.0,3866.0
137,6896.0,1816.0,0.0,492.0,4.0,295.0,79.0,28.0,0.0,5.0,5.0,56.0,71.0,26.0,105.0,346.0,4.0,3.0,10.0,50.0,237.0,21.0,134.0,34.0,4118.0
138,7555.0,1994.0,0.0,513.0,4.0,300.0,87.0,28.0,0.0,5.0,5.0,56.0,71.0,26.0,108.0,348.0,4.0,3.0,10.0,50.0,237.0,21.0,134.0,35.0,4518.0
139,7555.0,1994.0,0.0,513.0,4.0,310.0,87.0,28.0,0.0,6.0,5.0,56.0,71.0,26.0,108.0,357.0,5.0,3.0,10.0,50.0,237.0,21.0,134.0,35.0,4518.0
140,7978.0,2036.0,0.0,516.0,4.0,315.0,87.0,28.0,0.0,6.0,5.0,56.0,76.0,26.0,108.0,368.0,5.0,3.0,10.0,51.0,237.0,21.0,134.0,37.0,4815.0
141,8319.0,2168.0,0.0,516.0,4.0,318.0,87.0,28.0,0.0,6.0,5.0,56.0,73.0,27.0,108.0,375.0,5.0,3.0,10.0,51.0,237.0,21.0,135.0,37.0,5054.0
142,8730.0,2300.0,0.0,516.0,4.0,318.0,89.0,28.0,0.0,6.0,5.0,56.0,81.0,28.0,110.0,379.0,5.0,3.0,10.0,51.0,237.0,21.0,136.0,37.0,5257.0
143,9070.0,2507.0,0.0,564.0,4.0,323.0,94.0,28.0,0.0,6.0,5.0,56.0,81.0,30.0,110.0,387.0,5.0,4.0,10.0,51.0,237.0,22.0,136.0,37.0,5539.0
144,9551.0,2637.0,0.0,572.0,4.0,328.0,94.0,28.0,0.0,6.0,5.0,56.0,81.0,32.0,111.0,394.0,5.0,4.0,10.0,51.0,237.0,22.0,136.0,37.0,5731.0
145,9878.0,2727.0,0.0,587.0,6.0,330.0,94.0,28.0,0.0,6.0,5.0,56.0,84.0,32.0,111.0,407.0,5.0,4.0,10.0,51.0,237.0,22.0,136.0,37.0,5993.0
146,10499.0,2956.0,0.0,691.0,6.0,334.0,95.0,28.0,0.0,6.0,5.0,56.0,84.0,33.0,112.0,413.0,10.0,4.0,10.0,51.0,245.0,22.0,136.0,40.0,6616.0
147,,,,,,,,,,,,,,,,,,,,,,,,,
148,10708.0,3120.0,0.0,718.0,11.0,339.0,95.0,32.0,0.0,6.0,5.0,56.0,84.0,33.0,119.0,436.0,11.0,4.0,10.0,51.0,248.0,22.0,136.0,40.0,6968.0
149,11838.0,3349.0,0.0,718.0,12.0,342.0,95.0,32.0,0.0,6.0,5.0,56.0,84.0,33.0,123.0,444.0,12.0,4.0,10.0,51.0,250.0,22.0,136.0,40.0,7235.0
150,12715.0,3663.0,0.0,720.0,18.0,349.0,96.0,32.0,0.0,7.0,5.0,56.0,84.0,33.0,123.0,449.0,12.0,5.0,10.0,51.0,250.0,22.0,136.0,40.0,7865.0
151,12715.0,3663.0,0.0,720.0,23.0,368.0,96.0,32.0,0.0,7.0,5.0,56.0,84.0,33.0,124.0,457.0,16.0,5.0,10.0,51.0,256.0,22.0,136.0,40.0,7865.0
152,13140.0,3762.0,0.0,757.0,25.0,369.0,96.0,32.0,0.0,7.0,5.0,56.0,86.0,33.0,124.0,459.0,16.0,5.0,10.0,51.0,256.0,22.0,136.0,40.0,8107.0
153,13803.0,4164.0,0.0,853.0,25.0,369.0,97.0,32.0,0.0,7.0,5.0,56.0,86.0,33.0,125.0,465.0,16.0,5.0,10.0,51.0,256.0,22.0,136.0,43.0,8795.0
154,13803.0,4164.0,0.0,853.0,26.0,373.0,97.0,40.0,0.0,7.0,5.0,56.0,86.0,33.0,125.0,467.0,18.0,5.0,10.0,51.0,256.0,22.0,136.0,43.0,8795.0
155,14775.0,4164.0,0.0,928.0,26.0,375.0,102.0,40.0,1.0,7.0,5.0,56.0,86.0,33.0,138.0,490.0,18.0,5.0,10.0,51.0,256.0,22.0,136.0,43.0,9187.0
156,18403.0,7963.0,0.0,970.0,39.0,378.0,102.0,40.0,12.0,8.0,6.0,56.0,88.0,33.0,138.0,513.0,18.0,5.0,10.0,51.0,256.0,22.0,135.0,43.0,9375.0
157,19130.0,8559.0,0.0,1012.0,43.0,380.0,104.0,40.0,13.0,11.0,6.0,56.0,88.0,33.0,139.0,527.0,18.0,5.0,10.0,51.0,256.0,22.0,135.0,43.0,9722.0
158,20121.0,9045.0,0.0,1036.0,49.0,394.0,106.0,40.0,16.0,11.0,6.0,56.0,96.0,33.0,139.0,549.0,18.0,5.0,10.0,51.0,256.0,22.0,135.0,43.0,10304.0
159,21125.0,9567.0,0.0,1062.0,50.0,396.0,106.0,53.0,19.0,12.0,6.0,56.0,96.0,33.0,153.0,581.0,19.0,5.0,10.0,51.0,256.0,22.0,135.0,44.0,10626.0
160,22015.0,10162.0,0.0,1064.0,52.0,399.0,109.0,56.0,19.0,13.0,6.0,56.0,96.0,34.0,157.0,602.0,19.0,5.0,10.0,51.0,264.0,22.0,135.0,44.0,10966.0
161,23027.0,10829.0,0.0,1084.0,58.0,400.0,109.0,56.0,19.0,13.0,6.0,56.0,96.0,34.0,163.0,630.0,19.0,5.0,10.0,51.0,266.0,22.0,135.0,44.0,11422.0
162,24173.0,11356.0,0.0,1175.0,66.0,402.0,109.0,56.0,26.0,13.0,7.0,57.0,96.0,35.0,172.0,656.0,20.0,6.0,10.0,51.0,270.0,22.0,135.0,44.0,11853.0
163,25211.0,11487.0,0.0,1337.0,66.0,402.0,110.0,56.0,26.0,13.0,7.0,57.0,96.0,35.0,172.0,656.0,20.0,6.0,10.0,51.0,270.0,22.0,135.0,44.0,12233.0
164,25917.0,12723.0,0.0,1389.0,77.0,404.0,110.0,56.0,31.0,13.0,7.0,57.0,100.0,35.0,210.0,708.0,20.0,7.0,10.0,51.0,275.0,22.0,135.0,44.0,12671.0
165,27584.0,13323.0,0.0,1422.0,78.0,412.0,114.0,56.0,41.0,13.0,7.0,57.0,100.0,36.0,210.0,712.0,20.0,7.0,10.0,51.0,278.0,22.0,135.0,44.0,13004.0
166,28518.0,13851.0,0.0,1443.0,88.0,414.0,114.0,56.0,61.0,13.0,7.0,57.0,108.0,36.0,235.0,742.0,20.0,7.0,10.0,51.0,285.0,22.0,135.0,44.0,13397.0
167,30082.0,14513.0,0.0,1504.0,94.0,418.0,114.0,56.0,61.0,13.0,7.0,57.0,108.0,36.0,262.0,759.0,20.0,7.0,10.0,51.0,385.0,22.0,135.0,45.0,13933.0
168,36489.0,20699.0,0.0,1574.0,97.0,470.0,115.0,56.0,61.0,29.0,7.0,59.0,108.0,36.0,315.0,777.0,20.0,7.0,10.0,51.0,388.0,22.0,135.0,45.0,14406.0
169,38300.0,21743.0,0.0,1608.0,97.0,422.0,115.0,56.0,63.0,29.0,7.0,59.0,108.0,36.0,337.0,796.0,20.0,7.0,10.0,51.0,392.0,22.0,135.0,45.0,14858.0
170,38971.0,22797.0,0.0,1661.0,99.0,422.0,116.0,56.0,63.0,29.0,7.0,59.0,114.0,36.0,360.0,821.0,20.0,7.0,10.0,51.0,395.0,22.0,135.0,45.0,15269.0
171,41395.0,23780.0,0.0,1699.0,104.0,423.0,116.0,56.0,63.0,29.0,7.0,63.0,114.0,36.0,360.0,843.0,20.0,7.0,10.0,51.0,397.0,24.0,135.0,45.0,15653.0
172,42681.0,24943.0,0.0,1699.0,115.0,423.0,116.0,56.0,63.0,29.0,7.0,64.0,114.0,36.0,401.0,863.0,22.0,7.0,10.0,51.0,400.0,24.0,135.0,45.0,15930.0
173,44160.0,25789.0,0.0,1800.0,115.0,428.0,117.0,157.0,64.0,44.0,7.0,65.0,127.0,37.0,416.0,877.0,22.0,7.0,11.0,51.0,405.0,24.0,135.0,45.0,16270.0
174,45454.0,26913.0,0.0,2007.0,124.0,428.0,117.0,163.0,64.0,48.0,7.0,65.0,127.0,37.0,426.0,904.0,22.0,7.0,11.0,51.0,410.0,24.0,135.0,56.0,16780.0
175,47285.0,27789.0,0.0,2048.0,143.0,434.0,117.0,174.0,64.0,60.0,7.0,69.0,127.0,37.0,443.0,919.0,29.0,7.0,11.0,51.0,411.0,24.0,135.0,56.0,17216.0
176,49107.0,29285.0,0.0,2058.0,144.0,437.0,119.0,180.0,64.0,78.0,7.0,69.0,132.0,37.0,458.0,944.0,30.0,7.0,11.0,52.0,416.0,24.0,139.0,56.0,17618.0
177,49767.0,30590.0,0.0,2120.0,144.0,461.0,119.0,194.0,64.0,93.0,7.0,72.0,132.0,37.0,458.0,967.0,30.0,7.0,11.0,53.0,421.0,25.0,139.0,60.0,18068.0
178,52594.0,32056.0,7.0,2174.0,158.0,451.0,119.0,205.0,67.0,93.0,7.0,78.0,132.0,37.0,496.0,971.0,30.0,8.0,11.0,53.0,433.0,25.0,140.0,60.0,18523.0
179,54092.0,33097.0,8.0,2338.0,158.0,459.0,119.0,205.0,67.0,109.0,7.0,82.0,132.0,38.0,496.0,1013.0,30.0,8.0,11.0,53.0,446.0,25.0,140.0,60.0,18857.0
180,55900.0,34260.0,11.0,2338.0,158.0,467.0,119.0,239.0,67.0,109.0,7.0,82.0,154.0,38.0,531.0,1040.0,30.0,8.0,11.0,53.0,457.0,27.0,143.0,65.0,19107.0
181,59585.0,35834.0,24.0,2338.0,158.0,475.0,124.0,275.0,67.0,166.0,7.0,87.0,154.0,38.0,548.0,1054.0,30.0,8.0,11.0,53.0,469.0,27.0,147.0,68.0,19619.0
182,60518.0,37254.0,32.0,2365.0,179.0,478.0,124.0,320.0,67.0,188.0,7.0,93.0,154.0,38.0,548.0,1085.0,30.0,8.0,11.0,53.0,478.0,27.0,147.0,68.0,20096.0
183,62802.0,38930.0,32.0,2384.0,190.0,480.0,124.0,338.0,68.0,188.0,7.0,94.0,154.0,38.0,592.0,1122.0,47.0,9.0,13.0,53.0,504.0,27.0,147.0,68.0,20646.0
184,65434.0,40858.0,32.0,2390.0,202.0,484.0,125.0,364.0,68.0,220.0,8.0,100.0,166.0,38.0,618.0,1156.0,47.0,10.0,13.0,57.0,521.0,27.0,147.0,73.0,21144.0
185,68009.0,42643.0,33.0,2406.0,202.0,486.0,126.0,377.0,70.0,245.0,8.0,106.0,166.0,38.0,646.0,1178.0,47.0,10.0,13.0,57.0,541.0,27.0,147.0,73.0,21673.0
186,70505.0,44472.0,33.0,2426.0,215.0,493.0,126.0,409.0,72.0,245.0,8.0,107.0,166.0,38.0,653.0,1191.0,51.0,10.0,13.0,57.0,569.0,27.0,147.0,73.0,22044.0
187,72562.0,45941.0,33.0,2437.0,215.0,495.0,126.0,432.0,72.0,254.0,7.0,110.0,166.0,38.0,671.0,1225.0,51.0,10.0,13.0,57.0,592.0,29.0,147.0,75.0,22424.0
188,75070.0,47805.0,37.0,2501.0,220.0,501.0,127.0,466.0,72.0,254.0,8.0,115.0,175.0,38.0,687.0,1250.0,52.0,10.0,14.0,82.0,608.0,29.0,147.0,75.0,22893.0
189,77842.0,49943.0,45.0,2563.0,220.0,503.0,128.0,482.0,72.0,486.0,8.0,119.0,208.0,38.0,696.0,1288.0,60.0,10.0,14.0,83.0,631.0,29.0,175.0,75.0,23408.0
190,80583.0,51533.0,45.0,2672.0,224.0,512.0,128.0,504.0,72.0,520.0,8.0,122.0,248.0,38.0,730.0,1334.0,112.0,10.0,14.0,116.0,657.0,30.0,180.0,75.0,24527.0
191,83767.0,54347.0,51.0,2745.0,227.0,527.0,128.0,535.0,72.0,520.0,8.0,122.0,286.0,38.0,762.0,1380.0,116.0,12.0,14.0,125.0,683.0,30.0,186.0,75.0,24527.0
192,86486.0,56388.0,52.0,2785.0,238.0,543.0,129.0,575.0,73.0,578.0,8.0,134.0,332.0,38.0,777.0,1406.0,135.0,12.0,14.0,186.0,696.0,30.0,205.0,78.0,25099.0
193,89013.0,58198.0,52.0,2820.0,235.0,570.0,129.0,578.0,74.0,610.0,8.0,150.0,332.0,43.0,777.0,1437.0,142.0,16.0,14.0,186.0,716.0,30.0,245.0,78.0,25498.0
194,91289.0,59945.0,55.0,2841.0,240.0,570.0,129.0,578.0,74.0,610.0,22.0,156.0,373.0,43.0,797.0,1478.0,150.0,16.0,14.0,235.0,731.0,30.0,245.0,87.0,25842.0
195,94116.0,62206.0,56.0,2866.0,249.0,570.0,129.0,578.0,74.0,610.0,22.0,170.0,373.0,43.0,841.0,1496.0,162.0,16.0,14.0,254.0,769.0,30.0,245.0,87.0,26352.0
196,96935.0,64381.0,56.0,2906.0,249.0,823.0,130.0,637.0,74.0,905.0,22.0,196.0,447.0,43.0,867.0,1559.0,164.0,16.0,14.0,254.0,806.0,30.0,247.0,87.0,26748.0
197,99839.0,66618.0,56.0,2974.0,256.0,853.0,130.0,637.0,74.0,1096.0,28.0,215.0,504.0,43.0,867.0,1614.0,169.0,18.0,14.0,272.0,846.0,30.0,262.0,87.0,27186.0
198,103284.0,69180.0,56.0,3029.0,258.0,853.0,135.0,637.0,75.0,1356.0,35.0,227.0,553.0,43.0,883.0,1665.0,195.0,18.0,13.0,273.0,1159.0,30.0,276.0,88.0,27636.0
199,108229.0,96667.0,56.0,3061.0,259.0,853.0,146.0,637.0,76.0,1565.0,38.0,247.0,644.0,46.0,908.0,1719.0,253.0,18.0,13.0,273.0,1222.0,30.0,276.0,88.0,28515.0
200,170096.0,96667.0,56.0,3061.0,260.0,853.0,146.0,637.0,78.0,1673.0,79.0,265.0,660.0,46.0,927.0,1783.0,273.0,18.0,13.0,273.0,1287.0,30.0,281.0,91.0,28515.0
201,174961.0,99930.0,58.0,3075.0,265.0,1441.0,158.0,637.0,79.0,1909.0,85.0,265.0,740.0,46.0,959.0,1848.0,300.0,18.0,15.0,333.0,1385.0,35.0,,91.0,
202,181376.0,104268.0,58.0,3138.0,268.0,1525.0,161.0,684.0,79.0,2361.0,93.0,291.0,809.0,46.0,959.0,1945.0,305.0,18.0,15.0,333.0,1496.0,37.0,,91.0,
203,187270.0,108416.0,58.0,3181.0,270.0,1622.0,163.0,684.0,80.0,2602.0,105.0,317.0,891.0,47.0,1023.0,2057.0,318.0,18.0,19.0,333.0,1591.0,37.0,,91.0,
204,187270.0,111763.0,58.0,3288.0,270.0,1622.0,186.0,684.0,80.0,2602.0,105.0,317.0,891.0,47.0,1023.0,2057.0,318.0,18.0,19.0,333.0,1591.0,37.0,420.0,91.0,30371.0
205,198992.0,116227.0,59.0,3340.0,272.0,2036.0,187.0,684.0,80.0,3116.0,133.0,332.0,993.0,47.0,1052.0,2279.0,365.0,18.0,19.0,375.0,1851.0,41.0,502.0,98.0,30597.0
206,205684.0,120636.0,59.0,3801.0,281.0,2145.0,194.0,684.0,80.0,3337.0,139.0,366.0,1025.0,47.0,1085.0,2371.0,397.0,19.0,19.0,397.0,1945.0,42.0,546.0,98.0,31486.0
207,211689.0,133687.0,59.0,3851.0,288.0,2284.0,199.0,684.0,80.0,3543.0,163.0,376.0,1025.0,47.0,1085.0,2414.0,432.0,21.0,19.0,401.0,2095.0,42.0,580.0,98.0,31596.0
208,217837.0,133687.0,59.0,3891.0,290.0,2382.0,202.0,684.0,87.0,3694.0,165.0,376.0,1067.0,47.0,1093.0,2470.0,480.0,21.0,19.0,404.0,2259.0,42.0,610.0,98.0,32168.0
209,223518.0,141328.0,60.0,3952.0,293.0,2570.0,206.0,684.0,87.0,3935.0,167.0,427.0,1096.0,47.0,1112.0,2581.0,527.0,21.0,22.0,480.0,2398.0,57.0,671.0,117.0,32587.0
210,228712.0,144281.0,60.0,4005.0,299.0,2731.0,208.0,,87.0,4105.0,167.0,445.0,1152.0,47.0,1152.0,2705.0,558.0,21.0,26.0,488.0,2528.0,60.0,708.0,157.0,32990.0
211,233638.0,147760.0,60.0,4132.0,311.0,2843.0,213.0,,87.0,4301.0,170.0,445.0,1188.0,47.0,1200.0,2796.0,605.0,21.0,26.0,488.0,2714.0,80.0,796.0,157.0,33377.0
212,239793.0,152125.0,60.0,4132.0,321.0,3000.0,215.0,,87.0,4408.0,170.0,557.0,1222.0,47.0,1216.0,2883.0,699.0,21.0,26.0,521.0,2906.0,85.0,854.0,188.0,33888.0
213,245768.0,155945.0,60.0,4200.0,332.0,3204.0,217.0,911.0,87.0,4477.0,170.0,585.0,1272.0,48.0,1319.0,2950.0,793.0,21.0,26.0,524.0,3073.0,103.0,914.0,188.0,34099.0
214,251387.0,159543.0,60.0,4222.0,346.0,3331.0,217.0,911.0,87.0,4566.0,170.0,650.0,1293.0,48.0,1337.0,3027.0,895.0,21.0,26.0,524.0,3228.0,118.0,950.0,234.0,34453.0
215,256776.0,162680.0,60.0,4317.0,352.0,3454.0,238.0,911.0,87.0,4669.0,170.0,690.0,1354.0,49.0,1364.0,3119.0,974.0,22.0,26.0,540.0,3444.0,135.0,1010.0,234.0,34723.0
216,263189.0,166135.0,61.0,4438.0,338.0,3597.0,241.0,911.0,87.0,4766.0,175.0,690.0,1466.0,49.0,1385.0,3246.0,1064.0,22.0,26.0,600.0,3646.0,146.0,1048.0,245.0,35340.0
217,268788.0,169873.0,63.0,4487.0,348.0,3597.0,245.0,1020.0,87.0,4823.0,177.0,804.0,1584.0,51.0,1438.0,3360.0,1099.0,22.0,29.0,602.0,3836.0,166.0,1080.0,245.0,35708.0
218,274445.0,173236.0,63.0,4539.0,358.0,3830.0,246.0,1078.0,87.0,4885.0,178.0,848.0,1716.0,51.0,1438.0,3392.0,1184.0,22.0,29.0,630.0,4048.0,178.0,1118.0,259.0,35875.0
219,280152.0,177280.0,63.0,4585.0,359.0,4236.0,246.0,1135.0,81.0,4941.0,179.0,937.0,1983.0,51.0,1557.0,3821.0,1373.0,22.0,29.0,631.0,4347.0,193.0,1153.0,263.0,36278.0
220,287207.0,181529.0,63.0,4638.0,384.0,4379.0,248.0,1178.0,81.0,4999.0,180.0,998.0,2270.0,51.0,1608.0,3682.0,1488.0,22.0,29.0,656.0,4667.0,218.0,1179.0,263.0,36627.0
221,293994.0,185542.0,64.0,4646.0,399.0,4544.0,248.0,1193.0,81.0,5062.0,183.0,998.0,2368.0,51.0,1634.0,3809.0,1624.0,22.0,29.0,666.0,4927.0,225.0,1212.0,263.0,36978.0
